ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,fedfunds_rate
O:LQD170519P00116000,2017-04-21,2017-05-19,LQD,P,1160.0,4.0,0.2,0.19,0.2,0.19,2.0,1492747200000000000,28.0,Monthly,0.009
O:LQD170519P00119000,2017-04-21,2017-05-19,LQD,P,1190.0,8752.0,1.0,1.0,1.0,1.0,2.0,1492747200000000000,28.0,Monthly,0.009
O:LQD170616C00112000,2017-05-15,2017-06-16,LQD,C,1120.0,10.0,7.06,7.06,7.06,7.06,1.0,1494820800000000000,32.0,Monthly,0.0091
O:LQD170616P00119000,2017-05-15,2017-06-16,LQD,P,1190.0,50.0,0.75,0.75,0.75,0.75,1.0,1494820800000000000,32.0,Monthly,0.0091
O:LQD170616C00119000,2017-05-16,2017-06-16,LQD,C,1190.0,12.0,0.67,0.67,0.67,0.67,1.0,1494907200000000000,31.0,Monthly,0.0091
O:LQD170616P00117000,2017-05-16,2017-06-16,LQD,P,1170.0,2.0,0.12,0.12,0.12,0.12,1.0,1494907200000000000,31.0,Monthly,0.0091
O:LQD170616P00118000,2017-05-16,2017-06-16,LQD,P,1180.0,4.0,0.32,0.28,0.32,0.28,2.0,1494907200000000000,31.0,Monthly,0.0091
O:LQD170616P00119000,2017-05-16,2017-06-16,LQD,P,1190.0,2.0,0.6,0.6,0.6,0.6,1.0,1494907200000000000,31.0,Monthly,0.0091
O:LQD170616C00118000,2017-05-17,2017-06-16,LQD,C,1180.0,25.0,1.91,1.91,1.91,1.91,2.0,1494993600000000000,30.0,Monthly,0.0091
O:LQD170616C00119000,2017-05-17,2017-06-16,LQD,C,1190.0,27.0,0.9,0.9,0.9,0.9,1.0,1494993600000000000,30.0,Monthly,0.0091
O:LQD170616C00120000,2017-05-17,2017-06-16,LQD,C,1200.0,153.0,0.39,0.5,0.55,0.39,13.0,1494993600000000000,30.0,Monthly,0.0091
O:LQD170616C00119000,2017-05-18,2017-06-16,LQD,C,1190.0,1.0,1.14,1.14,1.14,1.14,1.0,1495080000000000000,29.0,Monthly,0.0091
O:LQD170616C00121000,2017-05-18,2017-06-16,LQD,C,1210.0,3.0,0.15,0.15,0.15,0.15,1.0,1495080000000000000,29.0,Monthly,0.0091
