ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:IWM180119C00145000,2018-01-16,2018-01-19,IWM,C,145.0,72,3.78,2.97,-9.04,YES,3.37,2.12,2.97,1.86,3.78,2.97,12,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,3.37,2.37,,
O:IWM180119C00146000,2018-01-16,2018-01-19,IWM,C,146.0,18,3.22,2.6,-8.41,YES,2.91,1.83,2.6,1.63,3.22,2.6,6,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,2.91,2.02,,
O:IWM180119C00147000,2018-01-16,2018-01-19,IWM,C,147.0,38,2.98,2.38,-7.78,YES,2.72,1.71,2.36,1.48,3.09,2.36,8,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,2.72,1.94,,
O:IWM180119C00148000,2018-01-16,2018-01-19,IWM,C,148.0,35,2.77,2.25,-7.16,YES,2.53,1.59,2.25,1.41,2.82,2.25,8,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,2.53,1.77,,
O:IWM180119C00149000,2018-01-16,2018-01-19,IWM,C,149.0,18,2.52,2.04,-6.53,YES,2.28,1.43,2.04,1.28,2.52,2.04,6,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,2.28,1.58,,
O:IWM180119C00150000,2018-01-16,2018-01-19,IWM,C,150.0,601,2.22,1.64,-5.9,YES,1.94,1.22,1.55,0.97,2.33,1.55,48,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,1.94,1.46,,
O:IWM180119C00151000,2018-01-16,2018-01-19,IWM,C,151.0,704,2.0,1.38,-5.28,YES,1.64,1.03,1.27,0.8,2.0,1.27,98,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,1.64,1.25,,
O:IWM180119C00152000,2018-01-16,2018-01-19,IWM,C,152.0,700,1.78,1.05,-4.65,YES,1.46,0.92,1.05,0.66,1.87,1.05,126,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,1.46,1.17,,
O:IWM180119C00152500,2018-01-16,2018-01-19,IWM,C,152.5,31,1.55,1.03,-4.33,YES,1.37,0.86,1.03,0.65,1.71,1.03,11,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,1.37,1.07,,
O:IWM180119C00153000,2018-01-16,2018-01-19,IWM,C,153.0,1484,1.52,0.93,-4.02,YES,1.23,0.77,0.84,0.53,1.61,0.84,80,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,1.23,1.01,,
O:IWM180119C00153500,2018-01-16,2018-01-19,IWM,C,153.5,55,1.35,0.76,-3.71,YES,1.09,0.68,0.76,0.48,1.42,0.76,25,1516078800000000000,3,Weekly,158.86,156.14,159.41,155.8,159.41,158.6,158.69,158.69,0.02,1.09,0.89,,
