ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:ADBE160916C00105000,2016-09-12,2016-09-16,ADBE,C,7.0,228,0.0,0.02,0.02,0.0,38,1473652800000000000,4,99.18,100.32,100.5,99.0,100.5,98.93,99.67,99.67
O:ADBE160916C00110000,2016-09-12,2016-09-16,ADBE,C,7.33,67,0.0,0.0,0.01,0.0,7,1473652800000000000,4,99.18,100.32,100.5,99.0,100.5,98.93,99.67,99.67
O:ADBE161021C00090000,2016-10-17,2016-10-21,ADBE,C,6.0,4,4.49,4.49,4.49,4.49,2,1476676800000000000,4,108.0,107.49,108.28,107.39,108.28,109.03,109.17,109.17
O:ADBE161021C00097500,2016-10-17,2016-10-21,ADBE,C,6.5,6,2.6,2.6,2.6,2.6,1,1476676800000000000,4,108.0,107.49,108.28,107.39,108.28,109.03,109.17,109.17
O:ADBE161021C00100000,2016-10-17,2016-10-21,ADBE,C,6.67,68,2.0,1.97,2.01,1.97,26,1476676800000000000,4,108.0,107.49,108.28,107.39,108.28,109.03,109.17,109.17
O:ADBE161021C00105000,2016-10-17,2016-10-21,ADBE,C,7.0,135,0.74,0.66,0.78,0.65,26,1476676800000000000,4,108.0,107.49,108.28,107.39,108.28,109.03,109.17,109.17
O:ADBE161021C00110000,2016-10-17,2016-10-21,ADBE,C,7.33,191,0.08,0.04,0.08,0.02,42,1476676800000000000,4,108.0,107.49,108.28,107.39,108.28,109.03,109.17,109.17
O:ADBE161021C00115000,2016-10-17,2016-10-21,ADBE,C,7.67,5,0.0,0.0,0.0,0.0,4,1476676800000000000,4,108.0,107.49,108.28,107.39,108.28,109.03,109.17,109.17
O:ADBE161118C00090000,2016-11-14,2016-11-18,ADBE,C,6.0,4,3.22,3.22,3.22,3.22,1,1479099600000000000,4,104.12,102.42,104.49,101.77,104.49,105.02,106.8,106.8
O:ADBE161118C00100000,2016-11-14,2016-11-18,ADBE,C,6.67,15,0.89,0.72,0.89,0.65,5,1479099600000000000,4,104.12,102.42,104.49,101.77,104.49,105.02,106.8,106.8
