ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:HOOD210813C00090000,2021-08-09,2021-08-13,HOOD,C,90.0,334.0,0.76,0.3,50.1,NO,0.57,0.96,0.25,0.42,0.9,0.25,121.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.51,0.03,0.57,1.5
O:HOOD210813C00095000,2021-08-09,2021-08-13,HOOD,C,95.0,353.0,0.7,0.2,58.44,NO,0.46,0.77,0.17,0.28,0.75,0.17,67.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.55,0.02,0.46,1.25
O:HOOD210813C00100000,2021-08-09,2021-08-13,HOOD,C,100.0,1040.0,0.55,0.15,66.78,NO,0.34,0.58,0.14,0.23,0.55,0.14,263.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.63,0.01,0.34,0.92
O:HOOD210813C00105000,2021-08-09,2021-08-13,HOOD,C,105.0,59.0,0.55,0.15,75.12,NO,0.35,0.58,0.15,0.25,0.55,0.15,34.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.81,0.01,0.35,0.92
O:HOOD210813C00110000,2021-08-09,2021-08-13,HOOD,C,110.0,92.0,0.49,0.15,83.46,NO,0.3,0.5,0.11,0.18,0.49,0.11,55.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,2.98,0.01,0.3,0.82
O:HOOD210813C00115000,2021-08-09,2021-08-13,HOOD,C,115.0,72.0,0.3,0.15,91.79,NO,0.23,0.38,0.11,0.18,0.35,0.11,43.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,3.14,0.01,0.23,0.58
O:HOOD210813C00120000,2021-08-09,2021-08-13,HOOD,C,120.0,89.0,0.25,0.1,100.13,NO,0.2,0.33,0.1,0.17,0.3,0.1,35.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,3.12,0.01,0.2,0.5
O:HOOD210813C00125000,2021-08-09,2021-08-13,HOOD,C,125.0,173.0,0.2,0.07,108.47,NO,0.18,0.31,0.07,0.12,0.3,0.07,31.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,3.11,0.0,0.18,0.5
O:HOOD210813C00130000,2021-08-09,2021-08-13,HOOD,C,130.0,1044.0,0.25,0.09,116.81,NO,0.2,0.33,0.05,0.08,0.35,0.05,246.0,1628481600000000000,4.0,Weekly,59.08,56.83,59.96,56.0,59.96,50.63,53.2,53.2,0.0009,3.34,0.01,0.2,0.58
O:HOOD210827C00025000,2021-08-23,2021-08-27,HOOD,C,25.0,97.0,19.29,21.0,-46.64,YES,20.0,42.69,18.6,39.7,21.4,18.6,26.0,1629691200000000000,4.0,Weekly,44.16,45.29,46.85,43.32,46.85,46.87,48.1,48.1,0.0009,4.4,0.86,20.0,45.68
